id,ru,en
none,Ничего,None
medicine_mask,Медицинская маска,Medicine mask
sun_glasses,Солнечные очки,Sun glasses
clown_nose,Клоунский нос,Clown nose
glasses,Крутые очки,Cool glasses
tears,Слезы,Tears
eye_patch,Пиратская повязка,Eye patch
mushu,Мушу,Mushu
ski_glasses,Зимние очки,Ski glasses
moustache,Усы,Moustache
black_ski_mask,Черная лыжная маска,Black ski mask
white_ski_mask,Белая лыжная маска,White ski mask
joker,Джокер,Joker
hockey_mask,Хоккейная маска,Hockey mask
ghoul_mask,1000-7,1000-7
blind_glasses,Очки слепого,Blind glasses
sage_glasses,Очки мудреца,Sage glasses
