id,ru,en
none,Ничего,None
just_hat,Обычная шляпа,Just hat
bag,Пакет на голову,Bag on the hat
red_cap,Красная кепка,Red cap
blue_cap,Синяя кепка,Blue cap
musketeer,Мушкетер,Musketeer
samurai_hat,Шапка самурая,Samurai hat
pirate_hat,Пиратская шапка,Pirate hat
red_knit_hat,Красная вязаная шапка,Red knitted hat
blue_knit_hat,Синяя вязаная шапка,Blue knitted hat
ninja_band,Повязка ниндзя,Ninja band
clown_wig,Клоунский парик,Clown wig
joker,Джокер,Joker
panama,Панама,Panama
ghoul_hat,1000-7,1000-7
crown,Корона,Crown
sage_hat,Шляпа мудреца,Sage hat
